XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;52429;523166;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;6108;60947;0.802
XDP_PASS;156474;1038190;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;12826;66945;0.902
XDP_PASS;260148;1033114;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;19532;66905;1.002
XDP_PASS;363671;1032846;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;26241;66936;1.102
XDP_PASS;467244;1033354;1.102
XDP_ABORTED;0;0;1.203
XDP_DROP;32951;66932;1.203
XDP_PASS;570785;1032823;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;39656;66888;1.303
XDP_PASS;674319;1032839;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;46367;66961;1.403
XDP_PASS;777899;1033505;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;53079;66928;1.503
XDP_PASS;881507;1033113;1.503
XDP_ABORTED;0;0;1.604
XDP_DROP;59787;66931;1.604
XDP_PASS;985050;1033128;1.604
XDP_ABORTED;0;0;1.704
XDP_DROP;66487;66862;1.704
XDP_PASS;1088532;1032686;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;73199;66938;1.804
XDP_PASS;1192068;1032547;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;79911;66988;1.904
XDP_PASS;1295664;1033602;1.904
XDP_ABORTED;0;0;2.005
XDP_DROP;86618;66896;2.005
XDP_PASS;1399202;1033004;2.005
XDP_ABORTED;0;0;2.105
XDP_DROP;93322;66901;2.105
XDP_PASS;1502750;1033336;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;100035;66952;2.205
XDP_PASS;1606319;1032956;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;106743;66897;2.305
XDP_PASS;1709930;1033276;2.305
XDP_ABORTED;0;0;2.406
XDP_DROP;113459;66999;2.406
XDP_PASS;1813491;1033123;2.406
