XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;485967;4850766;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;1481696;9937986;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;2493257;10098227;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;3505342;10101620;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;4515927;10090986;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;297;2966;1.202
XDP_PASS;5512398;9949669;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;5727;54227;1.302
XDP_PASS;6505371;9916324;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;17825;120160;1.403
XDP_PASS;7500970;9888495;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;36886;190056;1.503
XDP_PASS;8479031;9752215;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;62538;256067;1.603
XDP_PASS;9451580;9708306;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;93945;313667;1.704
XDP_PASS;10418467;9656446;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;131912;377443;1.804
XDP_PASS;11388907;9647454;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;174813;428409;1.904
XDP_PASS;12316382;9261763;1.904
XDP_ABORTED;0;0;2.005
XDP_DROP;227439;524562;2.005
XDP_PASS;13260766;9413361;2.005
XDP_ABORTED;0;0;2.105
XDP_DROP;287342;595907;2.105
XDP_PASS;14211965;9462398;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;353546;660223;2.205
XDP_PASS;15139926;9254145;2.205
XDP_ABORTED;0;0;2.306
XDP_DROP;427347;736097;2.306
XDP_PASS;16077094;9347388;2.306
XDP_ABORTED;0;0;2.406
XDP_DROP;508212;806407;2.406
XDP_PASS;17006041;9263723;2.406
