XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.505
XDP_DROP;0;0;0.505
XDP_PASS;24930;239754;0.505
XDP_ABORTED;0;0;0.605
XDP_DROP;0;0;0.605
XDP_PASS;122631;975540;0.605
XDP_ABORTED;0;0;0.705
XDP_DROP;0;0;0.705
XDP_PASS;223849;1010285;0.705
XDP_ABORTED;0;0;0.805
XDP_DROP;0;0;0.805
XDP_PASS;325013;1010176;0.805
XDP_ABORTED;0;0;0.905
XDP_DROP;0;0;0.905
XDP_PASS;426067;1008992;0.905
XDP_ABORTED;0;0;1.006
XDP_DROP;0;0;1.006
XDP_PASS;527255;1010381;1.006
XDP_ABORTED;0;0;1.106
XDP_DROP;0;0;1.106
XDP_PASS;628164;1007362;1.106
XDP_ABORTED;0;0;1.206
XDP_DROP;0;0;1.206
XDP_PASS;729440;1011205;1.206
XDP_ABORTED;0;0;1.306
XDP_DROP;1744;17417;1.306
XDP_PASS;828785;992131;1.306
XDP_ABORTED;0;0;1.406
XDP_DROP;7927;61720;1.406
XDP_PASS;923841;948864;1.406
XDP_ABORTED;0;0;1.506
XDP_DROP;23314;153633;1.506
XDP_PASS;1009416;854431;1.506
XDP_ABORTED;0;0;1.607
XDP_DROP;49922;265643;1.607
XDP_PASS;1084016;744775;1.607
XDP_ABORTED;0;0;1.707
XDP_DROP;77734;277733;1.707
XDP_PASS;1157341;732228;1.707
XDP_ABORTED;0;0;1.807
XDP_DROP;114012;362236;1.807
XDP_PASS;1222214;647758;1.807
XDP_ABORTED;0;0;1.907
XDP_DROP;153766;396860;1.907
XDP_PASS;1283575;612551;1.907
XDP_ABORTED;0;0;2.007
XDP_DROP;198816;449010;2.007
XDP_PASS;1339768;560079;2.007
XDP_ABORTED;0;0;2.107
XDP_DROP;245250;463611;2.107
XDP_PASS;1394602;547479;2.107
XDP_ABORTED;0;0;2.208
XDP_DROP;293080;477446;2.208
XDP_PASS;1447959;532610;2.208
XDP_ABORTED;0;0;2.308
XDP_DROP;341738;485650;2.308
XDP_PASS;1500517;524574;2.308
XDP_ABORTED;0;0;2.408
XDP_DROP;391378;494775;2.408
XDP_PASS;1552213;515268;2.408
