XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.402
XDP_DROP;0;0;0.402
XDP_PASS;29449;291870;0.402
XDP_ABORTED;0;0;0.502
XDP_DROP;0;0;0.502
XDP_PASS;577289;5469839;0.502
XDP_ABORTED;0;0;0.602
XDP_DROP;0;0;0.602
XDP_PASS;1241464;6627396;0.602
XDP_ABORTED;0;0;0.702
XDP_DROP;0;0;0.702
XDP_PASS;2040740;7981519;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;74;739;0.802
XDP_PASS;2877631;8353096;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;4547;44623;0.902
XDP_PASS;3737266;8575859;0.902
XDP_ABORTED;0;0;1.003
XDP_DROP;21239;166617;1.003
XDP_PASS;4594198;8553763;1.003
XDP_ABORTED;0;0;1.103
XDP_DROP;58498;372055;1.103
XDP_PASS;5439706;8442936;1.103
XDP_ABORTED;0;0;1.203
XDP_DROP;118287;596930;1.203
XDP_PASS;6263217;8221900;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;208184;895660;1.303
XDP_PASS;7088569;8223127;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;321601;1132610;1.403
XDP_PASS;7893552;8038760;1.403
XDP_ABORTED;0;0;1.504
XDP_DROP;469560;1467023;1.504
XDP_PASS;8722912;8223160;1.504
XDP_ABORTED;0;0;1.605
XDP_DROP;615037;1451368;1.605
XDP_PASS;9549837;8249907;1.605
XDP_ABORTED;0;0;1.705
XDP_DROP;778535;1632679;1.705
XDP_PASS;10356530;8055574;1.705
XDP_ABORTED;0;0;1.805
XDP_DROP;941677;1629116;1.805
XDP_PASS;11148371;7907223;1.805
XDP_ABORTED;0;0;1.905
XDP_DROP;1125155;1831760;1.905
XDP_PASS;11913851;7642205;1.905
XDP_ABORTED;0;0;2.005
XDP_DROP;1308145;1826685;2.005
XDP_PASS;12674326;7591387;2.005
XDP_ABORTED;0;0;2.106
XDP_DROP;1493417;1842821;2.106
XDP_PASS;13321814;6440271;2.106
XDP_ABORTED;0;0;2.206
XDP_DROP;1711412;2176022;2.206
XDP_PASS;14079495;7563174;2.206
XDP_ABORTED;0;0;2.306
XDP_DROP;1947021;2349921;2.306
XDP_PASS;14815395;7339742;2.306
XDP_ABORTED;0;0;2.406
