XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;318175;3176904;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;1593;15902;0.801
XDP_PASS;1302176;9822977;0.801
XDP_ABORTED;0;0;0.902
XDP_DROP;11261;96409;0.902
XDP_PASS;2304782;9997973;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;31813;205253;1.002
XDP_PASS;3291555;9854937;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;61758;298855;1.102
XDP_PASS;4266397;9729047;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;103480;416443;1.202
XDP_PASS;5231955;9637631;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;156507;529571;1.302
XDP_PASS;6180397;9471905;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;220975;641460;1.403
XDP_PASS;7125517;9403971;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;294360;732768;1.503
XDP_PASS;8061046;9341532;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;381385;866445;1.603
XDP_PASS;8988631;9235280;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;476711;951893;1.704
XDP_PASS;9902808;9128637;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;584340;1074781;1.804
XDP_PASS;10805251;9011797;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;701615;1170976;1.904
XDP_PASS;11693298;8867043;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;832002;1298920;2.004
XDP_PASS;12569723;8730974;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;972498;1402485;2.104
XDP_PASS;13438382;8671305;2.104
XDP_ABORTED;0;0;2.205
XDP_DROP;1124087;1511984;2.205
XDP_PASS;14296512;8559179;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;1286624;1620710;2.305
XDP_PASS;15140530;8415963;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;1459033;1718561;2.405
